,wy,ESI_max,P,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,-0.5032268762588501,947.7331712135881,299.4334574399794,365.77020250586276,0.0,0.0,0.0
1,2002,1.7055437564849854,1469.6851106740755,258.41790216972646,359.8527767314797,0.0,348.05058081581205,0.0
2,2003,1.0015473365783691,1663.7853986024857,285.05976120169464,324.6145133654716,202.5532474519374,359.8527767314797,0.0
3,2004,1.8739967346191408,1319.7486167144232,249.02867120297856,249.33290200653568,0.0,324.6145133654716,0.0
4,2005,3.015543222427368,1848.8728283416222,305.7143561432789,209.01399373373505,0.0,137.22269975396557,0.0
5,2006,1.3272993564605713,2418.0445420437513,280.30121453331617,178.6297985695705,0.0,187.4342819426465,0.0
6,2007,1.5075349807739258,1194.879851819383,286.0457876492489,250.833525756964,129.99415476865127,178.6297985695705,0.0
7,2008,1.527537822723389,1105.0095603520326,250.295616895622,324.65236222252054,63.89815980071484,180.15826182824773,0.0
8,2009,1.530510425567627,1589.5815420351996,302.34318140968026,288.44039462806325,90.89434785008608,281.54485735009507,0.0
9,2010,1.3518295288085938,1551.8006858537694,273.9918140968032,231.88951284689585,0.0,123.89175653266267,0.0
10,2011,2.7376441955566406,2386.6140303825555,239.10916420593145,131.64262613559725,0.0,0.0,0.0
11,2012,1.534303903579712,1170.4045815100765,285.3115073765234,243.998175346014,0.0,36.63275772462693,0.0
12,2013,1.5276954174041748,1392.8055268920293,299.15150737652334,216.48266814059025,193.1390117669542,184.7264141363865,0.0
13,2014,1.9873223304748533,1050.8243105296303,290.1931289288005,220.25316507179883,1.2126062042261907,216.48266814059025,0.0
14,2015,2.132251501083374,1021.040394424684,320.8812623476588,275.6813094056631,82.18386025658093,210.76397889548295,0.0
15,2016,1.940666675567627,1726.1538329181108,312.21258755612564,282.8579784955339,0.0,224.68431160642496,0.0
16,2017,3.978273868560791,3285.4033723819375,271.5339781911481,174.56348784389442,0.0,0.0,0.0
17,2018,3.356818437576294,1562.701697407943,365.8350327132777,346.5575586917314,244.53952517991337,161.13799024226162,0.0
18,2019,2.0694925785064697,2011.4033501700899,319.8574257425742,179.70037554917354,55.627900884170344,335.06011918254524,0.0
19,2020,1.2891888618469238,1075.8455642766587,330.9726482863671,343.7137889145088,245.6037001321087,179.70037554917354,0.0
20,2021,3.1692047119140625,870.4325078677358,0.0,203.5278477690776,184.8165839192741,343.7137889145088,0.0
