wy,wy,P,adjP,spring_rain,winter_P,winter_rain,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
2001,2001,414.305191685821,414.305191685821,89.76806465433091,324.1014271205768,324.1014271205768,0.0,0.0,138.29006211281035,181.18556209412716,146.8744104249194,192.93957427916231,47.935971057024716,0.0,5.837259339316265
2002,2002,343.48743052537225,343.48743052537225,28.676639922897703,313.4579469793301,313.4579469793301,0.0,0.0,0.0,151.93396561745817,117.84608574610273,192.99533777976794,0.0,192.93957427916231,9.589693797932162
2003,2003,524.2447039731746,524.2447039731746,99.1381192911938,394.1023563612694,394.1023563612694,0.0,0.0,97.72850604811251,215.532207160429,154.69069642717054,198.46971618995278,133.89403541468752,192.99533777976794,12.056726212523714
2004,2004,375.47929372811933,265.767180195428,9.95714580193353,356.55148214312084,246.83936861042952,0.2921921804085759,109.7121135326913,102.4797460235439,148.08848414357712,140.86842589643797,159.9507181562391,109.6793089128763,198.46971618995278,7.002489864009167
2005,2005,705.4295943942466,503.0991331676879,67.05256940925113,591.7287937165821,389.39883933239565,0.2868187879192961,202.3304612265585,237.88726368856152,205.55165432030327,163.46515537955224,125.39178324115271,65.35155640085644,117.26821288378031,0.0
2006,2006,543.0465974747511,392.0998159238136,123.50982688574479,419.0131236287923,268.06634207785464,0.27796285300904755,150.94678155093766,0.0,251.78799204294356,157.79434827358565,196.31178284197992,147.3499740065054,106.71000967329593,0.0
2007,2007,258.71563846196125,225.85958169561562,22.984637968817268,210.98560839835093,178.13005847437728,0.12699679447934287,32.85605676634567,0.0,140.38615453492287,133.72168316694572,267.46081135997326,188.7005495923259,187.853486803572,117.39784719398166
2008,2008,439.6703391942932,280.3569653957726,31.372304346495227,393.1743384668728,217.64215397624943,0.3992359020903945,175.5321844906234,144.44261860338628,155.00486229766923,139.54937871256266,226.6700557816055,169.84838650234855,236.33168782839735,56.98372998826249
2009,2009,309.0443479899281,205.95274584159657,49.08888901340559,258.9058556638751,126.17803001765111,0.42947824967357007,132.727825646224,0.0,162.40268601468588,142.57140813152196,252.00593256948207,203.61134613628334,209.81422276553374,96.54936340891913
2010,2010,501.87795566013915,288.48629311204985,68.11759604755859,433.5188323611364,214.3688070190178,0.43665999446790255,219.1500253421186,125.14635084003052,183.96893756663619,150.65993104498654,226.91239405316793,72.32005085790871,218.37770082577782,30.818415722009078
2011,2011,697.5445654937898,406.52003330526674,49.581196171729324,626.422505567648,282.694679921424,0.4927682654984203,343.72782564622406,0.0,167.13499545376885,149.9418721239895,131.28456061424325,100.56074287504075,150.51236751229175,0.0
2012,2012,276.14566403904934,241.1398165367023,49.81716470263537,214.51430719975528,173.6303741029484,0.14805205520455159,40.883933096806885,0.0,195.2863617691986,162.16310048323896,319.0782709036587,255.93681955057184,119.87635866276412,86.98224054975361
2013,2013,184.04741488475332,106.05581367709834,32.82677872440902,135.12002811585245,53.15398655477796,0.4453996701487478,81.97465788139887,0.0,156.63480760443525,129.28981081218268,479.7455411996756,434.46241013299124,301.15880697221644,306.8744566373099
2014,2014,206.03315659081164,175.74641270876856,46.21739716439657,146.16306870191963,110.71755425691202,0.17628142061075336,36.31981753674608,0.0,152.10496559172512,152.44877547158484,629.008026783334,570.8529559818729,454.1840219823922,470.7320361616731
2015,2015,221.55621928957618,192.44319344061518,52.298038755173195,163.84179603277025,134.72877018380927,0.13140243114055833,29.113025848960977,0.0,164.63510724027634,149.09315960731675,762.8622500059137,681.3171569900844,629.008026783334,615.1126421245093
2016,2016,458.94717332998533,363.7312584795039,33.97322375190328,420.675760111757,325.45984526127546,0.2074659577040706,95.2159148504815,123.52574773261225,212.09347308954457,164.47841523471934,752.574405126102,666.0781599131028,735.1062282791905,563.4386932143618
2017,2017,826.5229173598,514.8199269898049,43.110979692388895,765.188721001813,453.485730631818,0.37712564748438204,311.70299036999495,397.24208375127756,193.47800113540364,138.9600101540185,377.75416604611064,325.73439136425594,751.7370940238989,164.62913555557915
2018,2018,296.3803831236218,252.29132201741945,43.80652500330689,251.51087997907388,199.73591799225179,0.17469092063770797,51.7749619868221,0.0,239.22649756144367,157.08188999239212,584.4867718228818,536.6031776419654,375.6133797823586,296.4298864592505
2019,2019,630.1130095016651,316.81364733410925,86.75463346951393,536.5139864259722,204.25955155521706,0.5272934058821034,332.2544348707552,157.99373621722637,228.69410503870122,150.28113842681557,439.92890238591445,372.205725852256,584.4867718228818,309.87693059201865
2020,2020,347.96078178522316,245.22163091499422,113.72147086099653,227.2065907179997,105.73167941541479,0.34910517984053907,121.4749113025849,81.20140995495817,218.7064172470613,140.55215999838458,499.7002826180844,450.0727447366738,405.8149396762892,320.3436091493021
2021,2021,204.22985775644497,159.77471330636894,11.700156021878142,180.30905480300663,135.8539103529306,0.21767211189605373,44.45514445007603,0.0,0.0,43.114249871921075,611.3041235145904,588.2951879793791,499.7002826180844,476.5036239635958
