,wy,P,adjP,spring_rain,winter_P,snow_frac,total_swe,snowfall_t,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,412.6807234233804,412.6807234233804,100.07513285752367,291.2557386261465,0.0,0.0,161.7507692003464,259.0479252759694,269.84122557936035,45.06131473328401,0.0,0.0
1,2002,474.4586622693614,474.4586622693614,60.69049780465028,406.728231832051,0.0,0.0,188.25115686254117,237.53736767619586,269.403408974413,17.079298330965912,269.84122557936035,0.0
2,2003,573.7760332710541,573.7760332710541,137.43224317396704,405.3437135807602,0.0,0.0,34.41099134368212,289.03947919615064,317.1636216628376,264.3128832309942,269.403408974413,0.0
3,2004,472.4299150780177,169.29658174468437,35.32837224861966,418.9975248040639,0.6416472023861434,303.1333333333333,336.00171669930086,248.76170959524487,269.9633312493895,234.18547093515116,317.1636216628376,16.453927149327242
4,2005,738.137439454083,266.6821035216921,125.5071188045724,591.4912761294788,0.6736776108178968,497.26666666666665,325.1726299850395,321.22185111803003,256.9824360161014,163.08172146773694,246.57645449109367,134.12354842198692
5,2006,786.0094916517156,426.0416486669816,126.47395225129854,647.7358350689636,0.46555841528626235,365.9333333333334,543.2184752049468,304.2961335975092,257.4308780805245,225.2144470004364,256.9824360161014,0.0
6,2007,360.9165111924501,245.1165111924501,37.27248048033949,284.1247032918203,0.3208498265080824,115.80000000000001,80.9323463867598,261.55722615341074,414.5536274720592,380.9085609685403,252.35336705493805,126.32244176025918
7,2008,468.3234216022919,216.12342160229198,53.22712592907551,411.21279337587913,0.5385167351595165,252.2,358.69928604604956,248.2414718369658,434.84462377331664,366.1306304195234,400.8335689830845,166.00380620040588
8,2009,556.6477069640907,470.78104029742406,107.73432141462249,425.866353766266,0.1542567508900309,85.86666666666666,73.87994805579763,313.29936031701106,422.68393461379486,368.09437982067044,434.84462377331664,154.63905465469824
9,2010,619.3112712174888,417.1112712174887,113.85754988023452,487.5153625727769,0.3264917165200304,202.2,303.53083732844465,308.9719105575998,369.0779563484715,165.18778868776656,381.74507717720877,97.08431351094103
10,2011,998.1621191833052,604.3685202795294,131.66396910834206,823.4698616421276,0.43045779679379065,429.66666666666663,573.1771801405423,290.0402377582791,242.0753338161412,206.7221110196861,264.5385368895438,0.0
11,2012,357.0206077886002,319.15394112193354,62.70331849966349,264.74401524529327,0.10606297183015373,37.86666666666667,0.0,283.96071327483725,434.36219327630556,325.3566129793972,223.34772728711087,169.50099715555848
12,2013,463.54886138385723,307.14886138385725,81.64241243157151,363.91185695280404,0.33739701038870146,156.4,253.71151063688131,305.39575431644494,572.701523842046,489.55701598731395,434.36219327630556,223.9496401397961
13,2014,433.9299191958167,341.43625900998427,94.04149360827802,281.09130878191894,0.2255356506599929,97.86666666666666,0.0,272.4297763939994,656.0732481428977,616.862027165671,534.9747330419364,426.74735513602786
14,2015,423.6908216882714,350.6908216882714,201.0445531665477,209.7372863731042,0.17229544815041903,73.0,0.0,337.11048966883675,819.4732253477371,693.0740214271899,651.5569027163066,605.6309442761005
15,2016,680.943708526714,491.8770418600473,116.54833166695498,552.416350069602,0.27765388577527245,189.06666666666666,269.96679311162154,280.1897763939994,653.1962816101543,475.4363453021135,792.0194450569895,433.6873341514879
16,2017,1355.8745841851685,847.6079175185018,162.0481209990155,1095.4266426274596,0.3748625961390939,508.26666666666665,694.1948786851003,285.91997735635437,195.19676839863746,88.1369196322554,544.1423812815166,0.0
17,2018,585.6207168358859,380.6873835025525,106.30692085984577,476.2573206563702,0.3499420827196654,204.93333333333334,0.0,313.0404981602038,315.5311709329228,267.3671157238447,187.71867979085116,0.0
18,2019,773.857540023701,236.84511651835996,95.80035383284361,657.4315585961791,0.7482858752644985,579.0666666666667,464.9991358085598,273.18163600339653,246.3540519201124,216.38878747521608,315.5311709329228,0.0
19,2020,404.24958299735204,231.84958299735197,94.496080394283,293.72490173070423,0.4264692092487064,172.40000000000003,154.8651031699416,299.190534956128,367.2322785260116,305.5954994787344,246.3540519201124,97.41735418307809
20,2021,397.9069199091651,214.23941220381872,77.51634907187902,310.1660102279732,0.47800123718235205,190.2,0.0,0.0,415.06203934398746,391.3015878589112,367.2322785260116,227.9987864442066
